"region";"games";"sport";"tot_medals"
"Indonesia";"1988 Summer";"Archery";"3"
"Indonesia";"1992 Summer";"Badminton";"6"
"Indonesia";"1996 Summer";"Badminton";"6"
"Indonesia";"2000 Summer";"Weightlifting";"3"
"Indonesia";"2000 Summer";"Badminton";"5"
"Indonesia";"2004 Summer";"Weightlifting";"1"
"Indonesia";"2004 Summer";"Badminton";"4"
"Indonesia";"2008 Summer";"Weightlifting";"2"
"Indonesia";"2008 Summer";"Badminton";"5"
"Indonesia";"2012 Summer";"Weightlifting";"2"
"Indonesia";"2016 Summer";"Badminton";"2"
"Indonesia";"2016 Summer";"Weightlifting";"2"
