"region";"tot_medals";"rank"
"USA";"5637";"1"
"Russia";"3947";"2"
"Germany";"3756";"3"
"UK";"2068";"4"
"France";"1777";"5"
"Italy";"1637";"6"
"Sweden";"1536";"7"
"Canada";"1352";"8"
"Australia";"1349";"9"
"Hungary";"1135";"10"
"Netherlands";"1040";"11"
"Norway";"1033";"12"
"China";"993";"13"
"Japan";"913";"14"
"Finland";"900";"15"
"Switzerland";"691";"16"
"Romania";"653";"17"
"Czech Republic";"644";"18"
"South Korea";"638";"19"
"Denmark";"597";"20"
"Poland";"565";"21"
"Serbia";"539";"22"
"Spain";"489";"23"
"Brazil";"475";"24"
"Belgium";"468";"25"
"Austria";"450";"26"
"Cuba";"409";"27"
"Bulgaria";"342";"28"
"Argentina";"274";"29"
"Greece";"255";"30"
"New Zealand";"228";"31"
"Ukraine";"199";"32"
"India";"197";"33"
"Jamaica";"157";"34"
"Croatia";"149";"35"
"Belarus";"139";"36"
"South Africa";"131";"37"
"Pakistan";"121";"38"
"Mexico";"110";"39"
"Kenya";"106";"40"
"Nigeria";"99";"41"
"Turkey";"95";"42"
"Kazakhstan";"77";"43"
"Iran";"68";"44"
"North Korea";"67";"45"
"Uruguay";"63";"46"
"Lithuania";"61";"47"
"Ethiopia";"53";"48"
"Estonia";"50";"49"
"Taiwan";"49";"50"
"Slovenia";"48";"51"
"Slovakia";"47";"52"
"Azerbaijan";"44";"53"
"Indonesia";"41";"54"
"Portugal";"41";"54"
"Bahamas";"40";"55"
"Trinidad";"37";"56"
"Latvia";"35";"57"
"Ireland";"35";"57"
"Uzbekistan";"34";"58"
"Georgia";"32";"59"
"Chile";"32";"59"
"Thailand";"30";"60"
"Colombia";"28";"61"
"Egypt";"27";"62"
"Mongolia";"26";"63"
"Morocco";"23";"64"
"Ghana";"23";"64"
"Zimbabwe";"22";"65"
"Cameroon";"22";"65"
"Paraguay";"17";"66"
"Iceland";"17";"66"
"Algeria";"17";"66"
"Malaysia";"16";"67"
"Armenia";"16";"67"
"Venezuela";"15";"68"
"Peru";"15";"68"
"Montenegro";"14";"69"
"Tunisia";"13";"70"
"Fiji";"13";"70"
"Philippines";"10";"71"
"Puerto Rico";"9";"72"
"Liechtenstein";"9";"72"
"Israel";"9";"72"
"Moldova";"8";"73"
"Luxembourg";"8";"73"
"Haiti";"7";"74"
"Dominican Republic";"7";"74"
"Uganda";"7";"74"
"Saudi Arabia";"6";"75"
"Individual Olympic Athletes";"5";"76"
"Qatar";"5";"76"
"Syria";"5";"76"
"Costa Rica";"4";"77"
"Namibia";"4";"77"
"Vietnam";"4";"77"
"Tajikistan";"4";"77"
"Lebanon";"4";"77"
"Panama";"3";"78"
"Bahrain";"3";"78"
"Kyrgyzstan";"3";"78"
"Ivory Coast";"3";"78"
"Niger";"2";"79"
"Kuwait";"2";"79"
"United Arab Emirates";"2";"79"
"Sri Lanka";"2";"79"
"Burundi";"2";"79"
"Ecuador";"2";"79"
"Suriname";"2";"79"
"Grenada";"2";"79"
"Tanzania";"2";"79"
"Zambia";"2";"79"
"Mozambique";"2";"79"
"Afghanistan";"2";"79"
"Djibouti";"1";"80"
"Gabon";"1";"80"
"Senegal";"1";"80"
"Monaco";"1";"80"
"Kosovo";"1";"80"
"Botswana";"1";"80"
"Virgin Islands, US";"1";"80"
"Bermuda";"1";"80"
"Mauritius";"1";"80"
"Macedonia";"1";"80"
"Cyprus";"1";"80"
"Eritrea";"1";"80"
"Iraq";"1";"80"
"Jordan";"1";"80"
"Togo";"1";"80"
"Curacao";"1";"80"
"Guyana";"1";"80"
"Tonga";"1";"80"
"Nepal";"1";"80"
"Guatemala";"1";"80"
"Sudan";"1";"80"
"Barbados";"1";"80"
